,1. Cuenta corriente,1.A Bienes y servicios,1.A.a Bienes,Crédito (Exportaciones),Débito (Importaciones),1.A.b Servicios,Crédito (Exportaciones),Débito (Importaciones),1.B Ingreso primario (Renta),1.B.1 Remuneración de empleados,Crédito,Débito,1.B.2 Renta de la inversión,1.B.2.1 Inversión directa,En el extranjero,En Argentina,1.B.2.2 Inversión de cartera,Crédito,Débito,1.B.2.3 Otra inversión,Crédito,Débito,1.B.2.4 Activos de reserva,1.C.  Ingreso secundario (Transferencias corrientes),Crédito,Débito,2. Cuenta de capital,Capacidad/Necesidad de financiamiento,3. Cuenta financiera,3.1 Inversión directa,Activos,Pasivos,3.2 Inversión de cartera,Activos ,Pasivos,3.3 Instrumentos financieros derivados,Activos ,Pasivos,3.4 Otra inversión,Activos ,Pasivos,3.5 Activos de reserva,Errores y omisiones netos
2016,-15104.786524560117,-4035.4982439358027,4416.1569416,57959.93369052999,53543.776748929995,-8451.655185535808,13424.706884225205,21876.36206976101,-12192.210740787996,-93.93783063045032,78.84177766351394,172.77960829396423,-12098.272910157546,-7166.2554452128625,699.468830902597,7865.72427611546,-3505.429309019022,1358.3219477661926,4863.7512567852145,-1487.1405341923746,627.2860153955289,2114.4265495879035,60.55237826671592,1122.9224601636784,2821.964680710046,1699.0422205463678,365.8145847374593,-14738.971939822659,-13964.056184691044,-1473.6334070258952,1786.5309347480436,3260.1643417739388,-35255.29385502283,797.8395638185007,36053.13341884133,222.04503835033182,0.0,-222.04503835033182,8231.59054346096,2689.387168713537,-5542.203374747422,14311.235495546392,774.9157551316139
2017,-31151.35175076238,-15142.50169976446,-5447.063107540102,58661.8735517799,64108.936659319996,-9695.438592224358,15506.201961982286,25201.640554206642,-16380.283705535618,-80.80352190587408,109.67986713932478,190.48338904519886,-16299.480183629741,-8681.645293844795,1019.4941133594373,9701.139407204231,-5980.8423969228415,1965.7443320130938,7946.586728935936,-1767.3447703453503,791.3694188276065,2558.7141891729566,130.35227748324385,371.4336545376974,2607.2365093150784,2235.8028547773806,173.04528239580642,-30978.306468366573,-31273.187931011194,-10361.231244259952,1155.6302180245264,11516.86146228448,-35921.73949162286,5502.338283795916,41424.07777541877,-96.22559999999999,0.0,96.22559999999999,550.3028807976264,12506.082997233585,11955.780116435959,14555.705524073996,-294.8814626446183
2018,-27083.606451057018,-9678.495464234704,-743.2276781901019,61801.002638289894,62544.230316479996,-8935.267786044604,15342.163177832326,24277.43096387693,-18650.23032503888,-79.45569470332099,89.6549782228507,169.11067292617167,-18570.77463033556,-7421.389729843589,1523.1560773573835,8944.545807200971,-9346.064938284951,3033.903450875622,12379.968389160573,-2220.308636251749,1213.1735976162963,3433.4822338680447,416.98867404472975,1245.1193382165552,2984.7256550722027,1739.6063168556475,111.07551803900094,-26972.530933018013,-28035.82078483896,-9990.78824604859,1725.9815727057091,11716.7698187543,-6923.925325961752,6166.701477734643,13090.626803696394,-32.108889007279764,13.316520446568603,45.425409453848374,-22365.891100674155,25616.792288578083,47982.68338925224,11276.89277685282,-1063.2898518209454
2019,-3492.479581084208,13390.550040882372,18233.723458300305,65162.061724810104,46928.3382665098,-4843.173417417929,14802.420804612464,19645.59422203039,-17732.164561918547,-92.8885822080715,79.92354146781999,172.81212367589148,-17639.275979710474,-5609.581326158739,1301.5588864625074,6911.140212621247,-8707.745602701565,3238.22676931101,11945.972372012575,-3650.1994877617026,1380.166699653778,5030.36618741548,328.25043691153064,849.1349399519656,2528.576056946982,1679.4411169950167,283.94730039787396,-3208.5322806863333,-5119.265557223451,-5126.459686190737,1522.728151795323,6649.187837986059,7108.581725315477,2104.3726715301473,-5004.20905378533,-24.30032985298181,-1.6875120949535294,22.612817758028278,14297.470001243139,31253.206076770053,16955.73607552692,-21374.55726773835,-1910.7332765371166
2020,3120.7463112829882,12092.401048197376,14630.8070742401,54945.6185959299,40314.8115216898,-2538.4060260427195,9485.643445171763,12024.049471214483,-10118.85033265316,-80.89187295729039,75.79145160112361,156.683324558414,-10037.95845969587,-2502.409100749929,850.486858626757,3352.8959593766863,-3861.2452658566626,2226.2507765462415,6087.496042402905,-3721.4458723193,846.2106746476572,4567.656546966957,47.141779230022934,1147.1955957387765,2371.6918614228434,1224.496265684067,163.13585855332565,3283.882169836314,3896.321355949476,-3430.17163113869,1292.4771819533373,4722.648813092027,2505.6425698832236,-2446.546364918242,-4952.188934801466,10.413369507465577,9.748272870926233,-0.6650966365393444,12537.60790342668,8823.119380813823,-3714.4885226128563,-7727.170855729202,612.4391861131628
2021,6707.548184705236,15052.82648850705,18695.6025960303,77986.7131464501,59291.110550419806,-3642.7761075232534,9428.352547615585,13071.128655138838,-9826.028486048283,-108.93284111083011,65.8750043554109,174.80784546624102,-9717.095644937452,-4905.111687835427,850.3856618970601,5755.497349732486,-1404.8987330992773,955.4415291015534,2360.3402622008307,-3413.3178497107315,594.4442135874922,4007.762063298224,6.232625707983761,1480.7501822464733,2980.466702768953,1499.7165205224796,239.12380619729913,6946.671990902535,4537.715127129835,-5419.82917370291,1362.5197135142566,6782.348887217167,4811.241520659809,1356.0978342866695,-3455.1436863731396,-15.573727765578806,-14.885831713010681,0.6878960525681251,5267.689333468498,6486.500445105073,1218.8111116365737,-105.81282552998209,-2408.9568637726993
2022,-5386.395032117023,1299.2926660045123,6829.356941760099,67291.57945739999,60462.2225156399,-5530.064275755586,10340.627970069509,15870.692245825096,-8194.382828451238,-71.866449541644,56.564526161081304,128.4309757027253,-8122.516378909592,-4316.34843184967,784.2268995558239,5100.575331405494,-1230.6884327296311,807.3361605685319,2038.0245932981627,-2648.8977442761266,640.9021851753174,3289.799929451444,73.41822994583477,1508.6951303297037,2573.6261708962143,1064.9310405665105,79.10346201092368,-5307.291570106099,-8487.203692667154,-12856.39336398961,1652.4473233302688,14508.840687319878,5490.513711485406,1975.6078103298573,-3514.9059011555482,1.1092795678423994,0.09870438117237729,-1.010575186670022,-2072.9091100807914,7025.437110716815,9098.346220797608,950.4757903499994,-3179.912122561054
