Regiones,2017,2018,2019,2020,2021,2022
GBA,25.03919999999999,47.10434807644323,52.86528457127697,34.09703834766295,51.43801616069139,95.19082462796288
Pampeana,24.9703,47.64147961555667,54.13917011728486,37.89041526502723,50.47357054828004,94.18465611854889
NEA,22.275700000000008,47.83951349286899,57.552892652504404,42.22119776188577,49.658064606915644,95.9826152022458
NOA,24.313000000000002,47.78663534787188,55.4533578636824,38.12184913083454,50.77121161497116,95.1252926662155
Cuyo,25.5295,49.53337661665185,54.74456404478223,37.76675421482589,50.643490142797035,94.3682370954284
Patagonia,23.462699999999987,50.57592293056932,54.04418706103273,32.294081906305,51.62668912008046,94.25259543640479
