,Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
39,Chile,CHL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.18271846868523,2.43488981353058,2.55754475703323,3.04549084804331,4.52456838259136
40,China,CHN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.59313600071434,2.07479039965578,2.89923416358227,2.4194218945778,0.981015135544851
41,Côte d'Ivoire,CIV,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.685881065304644,0.359409031380664,-1.10686343994202,2.42500656821829,4.09195189692858
42,Camerún,CMR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.64267352185089,1.0742994515814,2.45280214062733,2.43760882182242,2.27185762503631
43,"Congo, República Democrática del",COD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
44,"Congo, República del",COG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.450063823285551,1.15277896375521,2.20607305781519,1.79537147083111,1.71564275451263
45,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.31431325695007,3.24056932930567,3.52301932741443,2.52663500084712,3.49505757399453
46,Comoras,COM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
47,Cabo Verde,CPV,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.784415251101353,1.25699566690509,1.1066667429606,0.60579580839551,1.86215297494637
48,Costa Rica,CRI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.62590692991729,2.22111461526584,2.09604635327805,0.724911478131358,1.72647755109235
49,Estados pequeos del Caribe,CSS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.8803844018353,1.24500040905261,1.21594945605107,0.0799778713101663,2.41070312174385
50,Cuba,CUB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
51,Curacao,CUW,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.58558801700291,2.58368756641871,2.62220783425056,,
52,Islas Caimán,CYM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
53,Chipre,CYP,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.5317664961745,1.43549119531762,0.250370996758456,-0.638422797978907,2.44608867175472
54,República Checa,CZE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.45053398460138,2.14949494949492,2.84787595918047,3.16129528497808,3.8398449150015
55,Alemania,DEU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.50949655801608,1.73216766075662,1.4456670146976,0.506689889953274,3.14296967309964
56,Djibouti,DJI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.568112117084679,0.147970849877116,3.31925372703833,1.77740783806174,
57,Dominica,DMA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.296252889279557,0.989191119189815,1.50462353858147,-0.727116412668306,
58,Dinamarca,DNK,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.14713216957606,0.813609467455633,0.758131572511619,0.420711974110026,1.85304543989687
59,República Dominicana,DOM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.27955694678546,3.56443426013507,1.8106037704296,3.78103179915516,8.24300347981817
60,Argelia,DZA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.59111590961673,4.26999020467078,1.95176821052894,2.41513094083414,7.22606307415476
61,Asia oriental y el Pacífico (excluido altos ingresos),EAP,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.88291164981209,2.82871578471268,1.85783841646689,2.39316239316241,2.54479213620967
62,inicial del dividendo demográfico,EAR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.32817337461301,3.95721831216162,2.7598087347445,3.08679294765088,4.27166381536796
63,Asia oriental y el Pacífico,EAS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.80034222468628,2.31260343301557,1.62724367098146,0.846905537459293,2.47710241465444
64,Europa y Asia central (excluido altos ingresos),ECA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.42931965396085,2.6132342483073,2.88986073718333,2.74615078213773,6.65029912708779
65,Europa y Asia central,ECS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.91558846458256,2.02805963071136,1.78415097403832,1.20007348888482,3.19017771027091
66,Ecuador,ECU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.417335588666803,-0.224103246005465,0.266012515466136,-0.338872392562274,0.133251386096455
67,"Egipto, República Árabe de",EGY,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,29.5066083940039,14.4014657807421,9.15279959324812,5.04493288977533,5.21404940513043
68,Zona del Euro,EMU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.3814587140721,1.70349794744475,1.4456670146976,0.290554555653313,2.44608867175472
69,Eritrea,ERI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
70,España,ESP,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.95607633363964,1.67498136863794,0.699518994458693,-0.322753017299705,3.09313511976406
71,Estonia,EST,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.41723549488057,3.43632688420445,2.27725931243518,-0.444531097679859,4.65316673847481
72,Etiopía,ETH,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,10.6871150284238,13.8330356586661,15.8096321719345,20.3563468559061,26.8395221557722
73,Unión Europea,EUU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.42910743319297,1.73860861988181,1.63052260754338,0.497367318853562,2.55450699642046
74,Frágiles y situaciones de conflicto afectados,FCS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.7963731887128,2.96760366004454,2.45280214062733,2.9308718405117,4.48359014042394
75,Finlandia,FIN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.754015047084413,1.08382098409299,1.02409392963429,0.290554555653313,2.19457432339993
76,Fiji,FJI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.34757834757835,4.08147637644538,1.7731018246027,-2.5952432588737,0.155855722131493
77,Francia,FRA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.03228275064674,1.85081508315494,1.10825492288292,0.476498852725083,1.64233141038392
78,Islas Feroe,FRO,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
79,Micronesia (Estados Federados de),FSM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.689027978925107,1.79400375972253,1.53907146098899,0.550898203592806,
80,Gabón,GAB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.65192583143898,4.74906652083221,2.46456756151187,1.17681176042119,
81,Reino Unido,GBR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.55775577557754,2.29283990345939,1.73810460086511,0.98948670377243,2.51837109614205
82,Georgia,GEO,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,6.03531725272117,2.61524471397664,4.85289821696731,5.2024648897533,9.56691433824767
83,Ghana,GHA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,12.3719215507048,7.80876516610709,7.14364003330856,9.88728956269943,9.97108867504441
84,Gibraltar,GIB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
85,Guinea,GIN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.91452597036354,9.82600180777342,9.47077937313535,10.6018600008336,12.5970695076018
86,Gambia,GMB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.0341897454591,6.52096823946571,7.11567625631191,5.93127636562439,7.37034758876615
87,Guinea-Bissau,GNB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.69111461822295,0.381324702791038,0.246600268147853,1.14000939393218,2.24248879577662
88,Guinea Ecuatorial,GNQ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.745599218497516,1.34988438751676,1.23869860205109,4.76970498098298,
89,Grecia,GRC,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.12125452031427,0.625621413453588,0.25300752203812,-1.24798355581408,1.22382501019855
90,Granada,GRD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.908458255874211,0.804102313277037,0.59814976473601,-0.740732597045501,1.21951193916844
91,Groenlandia,GRL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
92,Guatemala,GTM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.42453655182543,3.75186186704512,3.69998398008601,3.21444062197346,4.26105127422819
93,Guam,GUM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
94,Guyana,GUY,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.90465615515582,1.28284288443518,2.0872308916202,0.993337022838757,5.03285574626696
95,Ingreso alto,HIC,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.55189751218222,1.83188332429087,1.57083175721512,0.537288023411772,2.5083522147377
96,"Hong Kong, Región Administrativa Especial",HKG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.49387243939527,2.40613432046539,2.8832085377399,0.250962021080809,1.56875834445927
97,Honduras,HND,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.93436084442035,4.34734937777536,4.36587159819272,3.46841177951168,4.48087963413448
98,Países pobres muy endeudados (PPME),HPC,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.9759515055383,3.04891482875157,2.68537355266785,3.3018067617141,4.25936417542871
99,Croacia,HRV,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.12937210282344,1.50012501041753,0.771820346498083,0.154811374562028,2.55450699642046
100,Haití,HTI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,10.6800887242583,12.4814111170435,18.7037825672506,22.7963113642528,16.8415240198785
101,Hungría,HUN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.34824281150159,2.85024792594642,3.3385863538201,3.3267438576673,5.11096534382858
102,Sólo BIRF,IBD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.32389447576096,3.12170019449739,2.57778048007199,2.47302844771246,4.39811609897966
103,BIRF y la AIF,IBT,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.33787586109568,3.04891482875157,2.61057182799216,2.94029514263973,4.27166381536796
104,total de la AIF,IDA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.62709610696609,3.04891482875157,2.68537355266785,3.31332289544493,4.25936417542871
105,mezcla de la AIF,IDB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.908458255874211,2.32414485367923,2.20607305781519,2.11649014632676,2.41070312174385
106,Indonesia,IDN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.80879806953163,3.19834641562404,3.03058664969491,1.92096800566845,1.56012990525685
107,Sólo AIF,IDX,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.05754208156653,3.25519483924451,2.74417061846705,3.46841177951168,4.37012190478159
108,Isla de Man,IMN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
109,India,IND,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.32817337461301,3.93882646691634,3.72950573539126,6.62343677628532,5.13140747176369
110,No clasificado,INX,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,
111,Irlanda,IRL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.340531561461793,0.488370168032449,0.939044481054341,-0.334584625428444,2.35814296241712
112,"Irán, República Islámica del",IRN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.04492437660281,18.0141183371874,39.9073455697783,30.5941390387295,43.3890162681516
113,Iraq,IRQ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.18405889884764,0.36744148893681,-0.198965380023871,0.574162679425838,6.04186489058039
114,Islandia,ISL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.76041559180606,2.68291768267388,3.01397179156056,2.84792401518658,4.44423970189747
115,Israel,ISR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.244953121040659,0.817323896191417,0.844128708733833,-0.588430300016595,1.49228845352231
116,Italia,ITA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.22653316645808,1.13748763600395,0.611246943765291,-0.13770757391657,1.87378325762491
117,Jamaica,JAM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.3783986499156,3.7366388215216,3.90510000865876,5.22677779293517,5.86278242801063
118,Jordania,JOR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.32389447576096,4.46231108475485,0.761514047265513,0.33329435062843,1.34609377243118
119,Japón,JPN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.484199796126387,0.989094598021806,0.468776159383912,-0.0249958340276592,-0.233352779398279
120,Kazajstán,KAZ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.44000437325754,6.01913096570673,5.24547679608388,6.74900183815967,
121,Kenya,KEN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.0057227913467,4.68981976129857,5.23585999425422,5.40481467184518,6.11090916378165
122,Kirguistán,KGZ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.1753098637994,1.54266145238431,1.13362257718798,6.32542296338083,11.9050398185147
123,Camboya,KHM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.9126355737148,2.45908515380133,1.94257500833109,2.94029514263973,2.9207347759295
124,Kiribati,KIR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.355520888546853,0.564030491493466,-1.81307995302948,,
125,Saint Kitts y Nevis,KNA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.694916711613505,-1.03712214131567,-0.329562063663904,-1.16724501769362,1.19568887038397
126,"Corea, República de",KOR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.94433230786365,1.47583935002643,0.383000303608079,0.537288023411772,2.49833333333334
