Regiones,2017,2018,2019,2020,2021,2022
GBA,25.039199999999994,83.93809999999999,181.1775,277.0507,470.9981,1014.5359000000001
Pampeana,24.970299999999995,84.50800000000001,184.39909999999998,292.1591,490.09580000000005,1045.8755
NEA,22.2757,80.77180000000001,184.81119999999999,305.0619,506.2078,1088.0619
NOA,24.313000000000002,83.71799999999999,185.5958,294.4702,494.74749999999995,1060.5028
Cuyo,25.5295,87.70849999999999,190.4687,300.1693,502.82899999999995,1071.7081
Patagonia,23.462699999999998,85.9051,186.37599999999998,278.8585,474.4506,1015.8851999999999
